"","equity","mean_after","mean_before","after_minus_before"
"70","EDEN.PA","-0.000467956057378734","0.000830144966727622","-0.00129810102410636"
"71","HO.PA","0.000792816623573091","-0.000560818868888098","0.00135363549246119"
"72","TEP.PA","-0.00156213538614932","-0.000460817760237512","-0.0011013176259118"
"73","FER.MC","3.56012638687322e-05","-0.000339258435803686","0.000374859699672419"
"74","EDP.LS","0.000715683551207208","-0.000574320581950071","0.00129000413315728"
"75","PHIA.AS","0.000978386057534726","-0.00355081567338727","0.00452920173092199"
"76","AKZA.AS","-0.000463782425157071","-0.00103399550484771","0.000570213079690637"
"77","HEN3.DE","0.000670568710558929","-0.000599704069820192","0.00127027278037912"
"78","ASM.AS","0.000438941089708087","0.000150585958648896","0.000288355131059191"
"79","ACA.PA","-0.000126397884489362","-0.000973796370189587","0.000847398485700225"
